,weight,reward,x
0,0.0,958.7020511853957,3.061741884309018
1,0.001,947.8191189996079,3.0814908251603965
2,0.002,954.4461304391617,3.0083455723652297
3,0.003,967.9543535263665,3.1404545403320214
4,0.004,969.7861262919022,3.1440991171664137
5,0.005,973.0836257285328,3.1803716663595827
6,0.006,990.0139202812192,3.2661118469205346
7,0.007,964.7714076730811,3.0870167801693977
8,0.008,955.9859507792668,3.04823999203219
9,0.009,963.1362459912261,3.08203066223113
10,0.01,968.1849856559661,3.092181756627847
11,0.011,984.6058349391474,3.1423764060393506
12,0.012,972.3376374237613,3.165769543076358
13,0.013,-171.21728803245543,1.1573479322918314
14,0.014,974.2079365542598,3.1653176706795114
15,0.015,971.0710024705346,3.089704358582579
16,0.016,-310.82075177371826,0.6180829013117469
17,0.017,214.1201128700867,2.3531411526200388
18,0.018,978.7792599012836,3.1659131861933036
19,0.019,965.0548628989059,3.1517853154780435
20,0.02,957.0878403937645,3.0298704420512483
21,0.021,-36.80312431142431,1.5910359550609041
22,0.022,957.7811121932632,3.0525155285826417
23,0.023,950.4933144863156,3.017198820778453
24,0.024,443.4161184497955,3.007031568502599
25,0.025,976.8590395884232,3.206387205217607
26,0.026,348.260560084114,2.749621704686414
27,0.027,967.6560397007557,3.1011658130365354
28,0.028,965.7948240947235,3.07471372806584
29,0.029,962.4388094725281,3.1026129921619656
30,0.03,973.0998136421472,3.136907903193741
31,0.031,-492.53621943598984,-0.11587972058318048
32,0.032,-492.12006144351847,-0.11330085071423276
33,0.033,-491.907288261642,-0.1123417671235859
34,0.034,968.8896180534191,3.1415262964864112
35,0.035,-324.83169657385235,0.6157876387881891
36,0.036,963.9775124980258,3.0506278101685176
37,0.037,327.3144784491148,2.696717136628611
38,0.038,-269.59155780189485,0.7887306539797563
39,0.039,13.92195327749954,1.722020656078094
40,0.04,953.4649293504363,3.0138420933869328
41,0.041,947.8380978852051,3.011349865884214
42,0.042,975.7537264641626,3.193955005257821
43,0.043,-376.14856597743415,0.36077496796227576
44,0.044,974.3423946561684,3.172926580910265
45,0.045,248.0919246970597,2.4566339995410367
46,0.046,948.5876889242003,2.9786525840510536
47,0.047,959.5551589152864,3.0960442744973458
48,0.048,-50.47568192690653,1.5442122576125814
49,0.049,959.7815689858181,3.083751415764445
50,0.05,977.8606881673524,3.1539222057215794
51,0.051,955.2359984701609,3.0372712668506754
52,0.052,-183.53273735468582,1.0898238485367406
53,0.053,43.39874924759397,1.7846153942531662
54,0.054,960.2243703083833,3.071427913740149
55,0.055,-38.5259396357917,1.6138661253400925
56,0.056,951.0126459079045,3.003085523309932
57,0.057,973.4558031158936,3.1254846848335256
58,0.058,957.7225683614062,3.014166691903009
59,0.059,193.7259032994254,2.2889394940710694
60,0.06,945.9234792970365,2.954161549876249
61,0.061,957.9860465770616,3.0144981315854755
62,0.062,956.2322351081514,3.003315745472251
63,0.063,949.8771354992091,3.027510056750198
64,0.064,378.1442018959461,2.7874091962500063
65,0.065,953.1564786623281,3.022205939323019
66,0.066,953.2044454418351,2.9862118575980525
67,0.067,949.532257965678,2.9647245104063047
68,0.068,962.2282242462759,3.10740285303202
69,0.069,950.5418069434564,2.9902140917372937
70,0.07,268.16920362014486,2.492667584997065
71,0.071,955.8226527438063,3.038914515860611
72,0.072,184.11744016792812,2.2435948073621956
73,0.073,948.4958924607903,2.9810526626119476
74,0.074,956.0155918055874,3.0237292060518284
75,0.075,950.1473866594702,3.0365550725607533
76,0.076,939.0978706409948,2.944747055199302
77,0.077,181.2835865263998,2.252205202592644
78,0.078,928.2002404828871,2.8975717784168316
79,0.079,938.9520488444031,2.9439983479146803
80,0.08,932.9998146581917,2.9182957943256285
81,0.081,944.7470296052152,3.030360447504038
82,0.082,945.1865502402411,2.98096252547498
83,0.083,296.9867530399042,2.5215033826479876
84,0.084,368.2250284328861,2.7398058472295013
85,0.085,941.1686870906266,2.9651914312118257
86,0.086,937.6240880085187,2.9105469681324907
87,0.087,271.67118273203073,2.463450799021395
88,0.088,-133.4086407135187,1.243043121864403
89,0.089,951.1193980213137,3.042601782149916
90,0.09,935.0055623937692,3.000385558247616
91,0.091,162.71185466611274,2.163503608089575
92,0.092,954.1921156467363,2.98054941215096
93,0.093,947.9197004856236,3.0064152997104348
94,0.094,939.8390176483676,2.9136151605722587
95,0.095,952.1828902617476,3.0214087356270665
96,0.096,939.6921517264027,3.0259826238322893
97,0.097,945.9824892402479,3.0341068411623016
98,0.098,943.5350448131261,3.0216457151763274
99,0.099,940.6942520063039,2.92083053947597
100,0.1,927.7521235754537,2.8850641388716003
101,0.101,933.598004100371,2.925225786256654
102,0.102,939.3149496596149,2.9721446011856343
103,0.103,938.5093381323767,2.918980288221137
104,0.104,937.1556576781956,2.9547554721993254
105,0.105,922.5645387922365,2.8899924048038197
106,0.106,935.7972391668632,2.9237043964905114
107,0.107,946.2310720397622,3.0267979889741046
108,0.108,943.1779454190071,2.966835651055942
109,0.109,942.7435773611112,2.9969339899138046
110,0.11,951.875147267607,3.0228320577766596
111,0.111,946.3903674498495,3.0127350270857263
112,0.112,930.3131297203239,2.921047795779262
113,0.113,934.7501451903893,2.9199237510670906
114,0.114,937.9058541892083,2.9430549408423063
115,0.115,918.4691729725882,2.8238656239270297
116,0.116,925.7318447028107,2.931467265188688
117,0.117,-238.44277831075954,0.8598334313490477
118,0.118,931.7704829203875,2.884843513588883
119,0.119,943.0872545281588,2.9557856742146096
120,0.12,944.9051838468883,2.9861382741074594
121,0.121,917.4805369788365,2.840402749442859
122,0.122,915.1063493782777,2.8293432004615924
123,0.123,923.1855614012053,2.8206161667027447
124,0.124,917.1089798513839,2.8132031878813635
125,0.125,947.6056655598593,2.9800939483784576
126,0.126,939.029040616472,2.9519736730998174
127,0.127,908.0662487587484,2.7993856562180075
128,0.128,925.7366823281361,2.920808951170755
129,0.129,109.83296872226288,1.9474829292437341
130,0.13,933.7291972190653,2.924918985506328
131,0.131,916.5210056250721,2.7945904151206116
132,0.132,913.2959992082381,2.833595590273551
133,0.133,931.6928313970874,2.9183145135360493
134,0.134,914.7488925654663,2.7758804281480343
135,0.135,928.276375571569,2.8906664215268916
136,0.136,933.1475906792123,2.9238514748608533
137,0.137,926.2862578495726,2.891835019365552
138,0.138,919.1969009413492,2.794812901941446
139,0.139,911.9006601286846,2.7872786152195546
140,0.14,895.7116417825289,2.693219592828562
141,0.141,897.2812284236817,2.7075582133115184
142,0.142,907.720327929971,2.784161941885694
143,0.143,906.1047965092353,2.75817896002277
144,0.144,903.5790593948675,2.715332828829755
