,data/MarathonFric0.01-v0/MLPSAC/20231201_162424/best
0,9.499864360464367e-05
1,0.00020379360575033126
2,0.0004255174007052504
3,0.0005592672993426507
4,0.0005394705128539275
5,0.001409284371312717
6,0.002198073276367311
7,0.0024137753834145986
8,0.0021668345793608196
9,0.0020283125968271177
10,0.0024845908336693524
11,0.0022325766883131665
12,0.002055772551330712
13,0.0018638015984898315
14,0.001615487048427603
15,0.0014722273614538807
16,0.0014992996527642246
17,0.0012728121688799477
18,0.0014024073521948328
19,0.0013452768228040056
20,0.00116046190339864
21,0.0010055725223446514
22,0.0009270157068750919
23,0.0008009262094178384
24,0.000694499723757318
25,0.0006389070052819095
26,0.0007171029435887607
27,0.0007237590388894681
28,0.0007806417195708537
29,0.0013177473826098567
30,0.001415047126643089
31,0.001759522782201024
32,0.0019412199521243417
33,0.0017470552677913162
34,0.004347835047772672
35,0.003611250090346484
36,0.003008000745985033
37,0.002494984303594761
38,0.0020452455261918863
39,0.001709110111787787
40,0.0014156383440037446
41,0.001175822604424597
42,0.0011438105955760413
43,0.001005346960262243
44,0.0008764119932718225
45,0.0007483160164740258
46,0.000654640416361988
47,0.0006143514659636475
48,0.0006212642045286576
49,0.0006575339857491408
50,0.0007391213900795015
51,0.0009782363022329457
52,0.001142942424992391
53,0.0016306983801156506
54,0.0026296638629601217
55,0.0022780439871551246
56,0.002029546563130339
57,0.0017772960280252987
58,0.001550986751495247
59,0.0017912482489961788
60,0.001670917426624493
61,0.0016779482378327013
62,0.0037098189437644955
63,0.003483078387163114
64,0.0029281450107380407
65,0.0024382496047979773
66,0.0020047710888384815
67,0.0017071855119715916
68,0.0014077361942918902
69,0.001214388705902628
70,0.0010151399438588277
71,0.0008823727345044429
72,0.0007700197304661746
73,0.0006713803955910286
74,0.0005815937698589487
75,0.0005926730592141727
76,0.0005465256887490714
77,0.0006112442826431542
78,0.0006425799322233055
79,0.0006582378053724138
80,0.0010761311229108119
81,0.0012014262103012057
82,0.0020618981716667606
83,0.002035243835249813
84,0.0022583378761884916
85,0.002592421317018207
86,0.0023507966798600277
87,0.0021040783224151646
88,0.0018058008878961875
89,0.0015404739723267357
90,0.0012737721673189613
91,0.0010713132732758982
92,0.000928620012462327
93,0.0007883408067667595
94,0.0007969960719190815
95,0.0007341002747204365
96,0.0006213725320382912
97,0.0005936777362428383
98,0.0006140895539147926
99,0.0007144163521280686
100,0.0007131301318908992
101,0.0010099253022447772
102,0.0017750165661560213
103,0.0021664161620949885
104,0.0019668274121506196
105,0.0017919043418542886
106,0.002203220399019482
107,0.0018737083396024483
108,0.0016006768368355298
109,0.0014560468571481315
110,0.0014046531440429306
111,0.001333326231777958
112,0.001641498456339339
113,0.0014480505960222361
114,0.001402155287642513
115,0.0012361749284368713
116,0.0010273646546210286
117,0.0008646006858426213
118,0.0007350030149142488
119,0.0006667703577796059
120,0.0006070777371345056
121,0.0005385159310808602
122,0.0004930092258647105
123,0.0005336378399105365
124,0.0006013719978722212
125,0.0006480564436317545
126,0.0009952333972378866
127,0.003272203573995136
128,0.003178456682610909
129,0.003330601508432591
130,0.003065174607789358
131,0.0027097847976113596
132,0.0023700960190277016
133,0.0021788169625465885
134,0.0017896469613800457
135,0.001477877309630486
136,0.0013289734496769465
137,0.001119947613519405
138,0.0009833492015211326
139,0.0008883362320694263
140,0.0007506722535266322
141,0.0006458116889545663
142,0.0006176894053683035
143,0.0005453703079280434
144,0.0005507043812103
145,0.0006735470476602719
146,0.0008000455980315124
147,0.0009558853854522138
148,0.0012815696721660533
149,0.0015458742363874734
150,0.001422785978350612
151,0.0013197919270672214
152,0.0013471752460780435
153,0.0012353860597694119
154,0.0015141866545052736
155,0.0012725693610499168
156,0.0011268851313723384
157,0.0009762076490067923
158,0.0008668187631157674
159,0.0011066608503435727
