,data/MarathonFric1.0-v0/MLPSAC/20231130_165623/best
0,0.0001097788482478564
1,0.00036764474841781343
2,0.0005436337807825735
3,0.001047245663024815
4,0.001219289116973108
5,0.0011338220209372676
6,0.0016332253763884003
7,0.0021398154728151557
8,0.002179628215703992
9,0.0017960929962604786
10,0.001498260225840327
11,0.001327882248662401
12,0.0017117999685254464
13,0.0016916375529566151
14,0.0015367846815730077
15,0.0014102783354190786
16,0.0011780923866415477
17,0.001008869630124093
18,0.0030279529312212884
19,0.0028636486829294095
20,0.00240746432041839
21,0.0020041105167628295
22,0.0017214880124227794
23,0.002307755907490678
24,0.0020986433958593838
25,0.0018200871602725985
26,0.0015148791401104976
27,0.0012824595578291868
28,0.0038301329965454156
29,0.0034447057117219216
30,0.0028070254891061873
31,0.002360384190901209
32,0.001976207951355301
33,0.002570133024043966
34,0.002445278938766463
35,0.002044685524978723
36,0.0016952226122406398
37,0.001461582215292449
38,0.0036705651786937228
39,0.0035679055249260537
40,0.002951164113760207
41,0.0024388269192012783
42,0.0020308961197819868
43,0.0021993471928611814
44,0.002026520948588774
45,0.0017141902940428582
46,0.001432713885786416
47,0.0015577912552340598
48,0.004936609478442844
49,0.004077043826575758
50,0.003335497407787267
51,0.0027494899647056655
52,0.002292782340851672
53,0.0025156243281083575
54,0.0021470452742405003
55,0.0017996761511477428
56,0.001520191185668167
57,0.0013281906597954994
58,0.0017041620871605261
59,0.0019170773401120588
60,0.0016069452446163268
61,0.001352960219340105
62,0.0011811943974775535
63,0.0016362330848602473
64,0.002149328390883853
65,0.0018409159286003726
66,0.001539308684371287
67,0.0015154971535207488
68,0.0028878875434757497
69,0.002609327361014285
70,0.0021702647738587578
71,0.001830707764341562
72,0.003858567635965866
73,0.0032655246090639994
74,0.00269149574336701
75,0.0022042061814463118
76,0.001984588050306919
77,0.005103152721730805
78,0.00420583280750217
79,0.0034216402294537794
80,0.002809018662666781
81,0.0023211725519524727
82,0.0026166870496483626
83,0.0024547387023140512
84,0.002029330559832624
85,0.0016811213246606903
86,0.0019022883197592762
87,0.002626313071525202
88,0.0024737793812856625
89,0.00206131897100797
90,0.00171060868949499
91,0.0014566986490970636
92,0.0020953634888732447
93,0.0020096992703892546
94,0.0016979449061545796
95,0.0014452857212528894
96,0.0012363099116415627
97,0.002210897072601481
98,0.0021979164834504458
99,0.0018262104024311617
100,0.001522624371017224
101,0.0013677075975148968
102,0.0020915961944702214
103,0.0020501789603389778
104,0.0017011450357511482
105,0.0014267620910552612
106,0.0012226947477816214
107,0.0024953570509944484
108,0.0023475979082611164
109,0.00195266512901055
110,0.0016176459055087518
111,0.0035586082710540113
112,0.002969776691236388
113,0.002450111142723138
114,0.0020074485713474826
115,0.0019131752760125171
116,0.0017750371614471145
117,0.0015506653311522227
118,0.0015244576204000305
119,0.0012784117279020025
120,0.001088707940612144
121,0.002074600020044128
122,0.0017850210275419524
123,0.001479122959098758
124,0.001248877097632655
125,0.0011275462872289877
126,0.006254090076767088
127,0.0059569189028012524
128,0.004818312164481063
129,0.003907332675161462
130,0.0031950451191920027
131,0.004287280021207235
132,0.0036354921403577312
133,0.0031560351178497002
134,0.0025848773377087535
135,0.002129588638250907
136,0.002126593706373276
137,0.002049197517556063
138,0.0017240224256658782
139,0.0014742727925622211
140,0.0013098971455414545
141,0.002266284458192236
142,0.002217398238249025
143,0.0018846794989848406
144,0.0015735631349082914
145,0.001311394189928206
146,0.0012730241618749537
147,0.00270011608422561
148,0.002211498891397713
149,0.001841308799060918
150,0.0015835161169171317
151,0.0018468851230940078
152,0.0016856250040585116
153,0.001424395662438627
154,0.0012089990912703774
155,0.0010475496063657305
156,0.003572644044941433
157,0.0033180672563480566
158,0.0027314815176750465
159,0.0022478220833996284
