"Step","fallen-shadow-2 - predict_error1.0","fallen-shadow-2 - predict_error1.0__MIN","fallen-shadow-2 - predict_error1.0__MAX"
"0","0.0002032608011161748","0.0002032608011161748","0.0002032608011161748"
"1","0.00034290339438867664","0.00034290339438867664","0.00034290339438867664"
"2","0.0013945408967934194","0.0013945408967934194","0.0013945408967934194"
"3","0.004280878305933508","0.004280878305933508","0.004280878305933508"
"4","0.0042260277062897865","0.0042260277062897865","0.0042260277062897865"
"5","0.0035421660242710576","0.0035421660242710576","0.0035421660242710576"
"6","0.0029200411380351757","0.0029200411380351757","0.0029200411380351757"
"7","0.004185562121805447","0.004185562121805447","0.004185562121805447"
"8","0.0035526122970193003","0.0035526122970193003","0.0035526122970193003"
"9","0.0029619607387494132","0.0029619607387494132","0.0029619607387494132"
"10","0.002429918575295381","0.002429918575295381","0.002429918575295381"
"11","0.0020130812117324344","0.0020130812117324344","0.0020130812117324344"
"12","0.0019306205619132669","0.0019306205619132669","0.0019306205619132669"
"13","0.001633651619501058","0.001633651619501058","0.001633651619501058"
"14","0.0013946605349742596","0.0013946605349742596","0.0013946605349742596"
"15","0.0013118139239394122","0.0013118139239394122","0.0013118139239394122"
"16","0.0012704523355013444","0.0012704523355013444","0.0012704523355013444"
"17","0.002488623129162187","0.002488623129162187","0.002488623129162187"
"18","0.0021089487311908685","0.0021089487311908685","0.0021089487311908685"
"19","0.0019942260893918338","0.0019942260893918338","0.0019942260893918338"
"20","0.0017527917910410903","0.0017527917910410903","0.0017527917910410903"
"21","0.0015095642296116412","0.0015095642296116412","0.0015095642296116412"
"22","0.0012577917846364188","0.0012577917846364188","0.0012577917846364188"
"23","0.0022583676620527337","0.0022583676620527337","0.0022583676620527337"
"24","0.002664062644447428","0.002664062644447428","0.002664062644447428"
"25","0.0024960320555292978","0.0024960320555292978","0.0024960320555292978"
"26","0.0020823753843139795","0.0020823753843139795","0.0020823753843139795"
"27","0.0018220645060549664","0.0018220645060549664","0.0018220645060549664"
"28","0.0016626074867840592","0.0016626074867840592","0.0016626074867840592"
"29","0.0018990714631320835","0.0018990714631320835","0.0018990714631320835"
"30","0.0016169399943991656","0.0016169399943991656","0.0016169399943991656"
"31","0.0014070869407799872","0.0014070869407799872","0.0014070869407799872"
"32","0.001301609255213477","0.001301609255213477","0.001301609255213477"
"33","0.0014459200645361154","0.0014459200645361154","0.0014459200645361154"
"34","0.0012897363352643504","0.0012897363352643504","0.0012897363352643504"
"35","0.0013935091362628558","0.0013935091362628558","0.0013935091362628558"
"36","0.001176744736597139","0.001176744736597139","0.001176744736597139"
"37","0.0010279408821534692","0.0010279408821534692","0.0010279408821534692"
"38","0.0009704555966140698","0.0009704555966140698","0.0009704555966140698"
"39","0.0011484810009071184","0.0011484810009071184","0.0011484810009071184"
"40","0.0010765214119295842","0.0010765214119295842","0.0010765214119295842"
"41","0.0010769860092683494","0.0010769860092683494","0.0010769860092683494"
"42","0.000949133165257099","0.000949133165257099","0.000949133165257099"
"43","0.0008233171656538654","0.0008233171656538654","0.0008233171656538654"
"44","0.0037493690202376434","0.0037493690202376434","0.0037493690202376434"
"45","0.0037237290039958586","0.0037237290039958586","0.0037237290039958586"
"46","0.0030637101323635753","0.0030637101323635753","0.0030637101323635753"
"47","0.0026767367376875784","0.0026767367376875784","0.0026767367376875784"
"48","0.002225939962195381","0.002225939962195381","0.002225939962195381"
"49","0.001860557616954983","0.001860557616954983","0.001860557616954983"
"50","0.0016147490146234253","0.0016147490146234253","0.0016147490146234253"
"51","0.0031135078265927983","0.0031135078265927983","0.0031135078265927983"
"52","0.002740201425836948","0.002740201425836948","0.002740201425836948"
"53","0.0024000165291186417","0.0024000165291186417","0.0024000165291186417"
"54","0.002014053067819411","0.002014053067819411","0.002014053067819411"
"55","0.0016774825041564732","0.0016774825041564732","0.0016774825041564732"
"56","0.0015736340393245774","0.0015736340393245774","0.0015736340393245774"
"57","0.0014912879888463","0.0014912879888463","0.0014912879888463"
"58","0.0012956872331386239","0.0012956872331386239","0.0012956872331386239"
"59","0.0011400359829309545","0.0011400359829309545","0.0011400359829309545"
"60","0.001055483708718337","0.001055483708718337","0.001055483708718337"
"61","0.001160567174407102","0.001160567174407102","0.001160567174407102"
"62","0.001444070015960803","0.001444070015960803","0.001444070015960803"
"63","0.0015009969684031488","0.0015009969684031488","0.0015009969684031488"
"64","0.0014670488250377693","0.0014670488250377693","0.0014670488250377693"
"65","0.001291531776736469","0.001291531776736469","0.001291531776736469"
"66","0.0011238290092926975","0.0011238290092926975","0.0011238290092926975"
"67","0.0013254682291813967","0.0013254682291813967","0.0013254682291813967"
"68","0.001365804392420305","0.001365804392420305","0.001365804392420305"
"69","0.001146982938347166","0.001146982938347166","0.001146982938347166"
"70","0.0010040015249805911","0.0010040015249805911","0.0010040015249805911"
"71","0.0009169979580068962","0.0009169979580068962","0.0009169979580068962"
"72","0.001642223801452133","0.001642223801452133","0.001642223801452133"
"73","0.001663466262069009","0.001663466262069009","0.001663466262069009"
"74","0.0014172720752837764","0.0014172720752837764","0.0014172720752837764"
"75","0.00121645609799025","0.00121645609799025","0.00121645609799025"
"76","0.001051796003301389","0.001051796003301389","0.001051796003301389"
