,weight,reward,x
0,0.0,5.8525113896053576,2.9081810887058377
1,0.001,6.119895664254208,3.1320979108416194
2,0.002,7.179228145791679,2.964975243135268
3,0.003,10.008298447111896,2.8461623949186454
4,0.004,8.434399930668844,2.8222970806438514
5,0.005,9.912874548142291,2.899563330813137
6,0.006,8.689661575126031,2.985900696778934
7,0.007,9.360372413471953,2.985275627183411
8,0.008,6.548596000572184,2.963093167650409
9,0.009,9.128231499239762,2.893904082289252
10,0.01,9.979018469102972,2.9943366236414857
11,0.011,1.993639444975278,2.8345882446051593
12,0.012,8.997338721948225,2.8196678009277134
13,0.013,1.4695804944966855,2.864539727457756
14,0.014,3.4579122252975325,2.860836326926345
15,0.015,7.9890967041982375,2.853168327694952
16,0.016,7.12003938615797,2.9339909096885797
17,0.017,11.360262726430047,2.88264372413716
18,0.018,10.816900228499104,2.6474761171652395
19,0.019,12.114402921332815,2.9119852196079656
20,0.02,6.363378842552466,2.953408119873417
21,0.021,10.31999004411901,3.055947322790193
22,0.022,10.626378475089501,3.0113595182508086
23,0.023,4.862910693552889,2.8289242461415953
24,0.024,8.627324264898984,2.9758672089871134
25,0.025,4.855572728490696,2.915970618947434
26,0.026,9.23878685075658,2.970404243220863
27,0.027,6.954365998225005,2.9340497529673693
28,0.028,8.3579721957358,2.6777448346233284
29,0.029,11.245601093328645,2.914155090218076
30,0.03,7.731439875394452,2.888029028598183
31,0.031,10.41893476976701,2.852584207242147
32,0.032,8.279706098295463,2.8146770955787055
33,0.033,7.101518189982574,2.811956906646162
34,0.034,8.542659598575261,2.9472214030061554
35,0.035,8.632828362476388,3.028333476949284
36,0.036,4.976837324211441,2.972585190915242
37,0.037,4.556775133187125,2.93044115788736
38,0.038,9.027351521203013,2.855922450010213
39,0.039,10.311321988648768,2.7789287146933135
40,0.04,7.030176334998091,2.9513631743710813
41,0.041,6.631756546143259,2.7863881123105108
42,0.042,9.598090999354714,2.829748961462238
43,0.043,7.02301497166409,2.8441621005634237
44,0.044,8.754661021222581,2.850129952173773
45,0.045,8.104091418278175,2.9521832535661354
46,0.046,9.43360327886479,2.8509084846551773
47,0.047,4.160790498108401,2.8906484865069646
48,0.048,8.980346896039574,2.933959012025492
49,0.049,8.489614542430452,2.639369527756217
50,0.05,7.600587753006291,2.6915424127657883
51,0.051,3.2214334587633497,2.7740786334426346
52,0.052,4.809310146030477,2.9969909552325733
53,0.053,8.63455862713986,2.8230064212569213
54,0.054,4.200520414856526,2.7850009005839444
55,0.055,4.4853740430739695,2.6084140939746305
56,0.056,8.559564521290804,2.9381329994578733
57,0.057,10.931977062399124,2.7333976773336484
58,0.058,6.658262126463491,2.7077145998183716
59,0.059,8.46945551616082,2.804204114060769
60,0.06,9.489022874846578,2.6779007887053567
61,0.061,4.696275448751998,2.663112924743533
62,0.062,9.950700193049713,2.6951001109643666
63,0.063,7.438098052851872,2.597575070333787
64,0.064,3.5290202497746628,2.7781598668209453
65,0.065,2.307193535112966,2.644245649926978
66,0.066,7.60997678799289,2.7869378924845787
67,0.067,8.461552495733901,2.4530058796727574
68,0.068,10.31145308590711,2.6819533201749337
69,0.069,8.202422089807214,2.7219883500078725
70,0.07,7.144840433426143,2.81529755960429
71,0.071,9.26464398102625,2.641728138875987
72,0.072,5.3947992891670005,2.603355728043676
73,0.073,10.286512447739346,2.746702513772326
74,0.074,8.299365306035265,2.718674053629925
75,0.075,8.649626669583075,2.8376195868375227
76,0.076,5.353914611592151,2.577964452389884
77,0.077,7.899851482249511,2.6535893585739165
78,0.078,10.088656133556622,2.6084429887097125
79,0.079,9.783949844409253,2.8153210715971704
80,0.08,11.469587467464518,2.6598076995795235
81,0.081,11.797284875818438,2.6461218734186946
82,0.082,1.3607591659659544,2.4902242788758127
83,0.083,9.52006474609405,2.6191235989487582
84,0.084,8.15678388924848,2.7036388608526263
85,0.085,8.06047443534056,2.617756864911903
86,0.086,8.345454826879354,2.6634527305954236
87,0.087,7.178658820612522,2.6265732776804027
88,0.088,6.826003251800417,2.699272798385599
89,0.089,7.345117688737517,2.7531812137512364
90,0.09,8.12275935073897,2.4738901837883502
